population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
3274,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0350423785549943,0.0336917492597317,0.0310495553792443,0.0273520557536919,0.0228215190781897,0.0181107612930926,0.013506528786646,0.00950299117149722,0.00624579475429421,0.00382335514897925,0.00220764739464663,0.00119815603374107,0.000689854599690953,0.000463152683757961,NA,NA,NA,NA
2697,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0492773561531834,-0.0486806268714357,-0.0474522398795383,-0.0454524814638768,-0.042642099689215,-0.0390038005282189,-0.0345655276282928,-0.0294563496064102,-0.0237901612344267,-0.0178934729828155,-0.0119673741131878,-0.00648971120151476,-0.00168660074604166,0.00201533783624619,0.00450291149109994,0.00574996741852551,NA
2699,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00927153620816146,0.00927153620816146,0.00927153620816101,0.00927153620816146,0.00927153620816146,0.00927153620816101,0.00927153620816146,0.00927153620816146,0.00927153620816101,0.00927153620816146,NA,NA,NA,NA,NA,NA
3275,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00458707335765629,0.00458707335765629,0.00458707335765629,0.00458707335765629,0.00458707335765718,0.00458707335765585,0.00458707335765629,0.00458707335765629,0.00458707335765629,0.00458707335765629,0.00458707335765629,0.00458707335765673,0.00458707335765629,0.00458707335765629,NA,NA
666,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0358998667374637,0.0358998667374637,0.0358998667374637,0.0358998667374637,0.0358998667374636,0.0358998667374637,0.0358998667374637,0.0358998667374637,0.0358998667374637,0.0358998667374637,0.0358998667374637,0.0358998667374637,0.0358998667374637,0.0358998667374637,0.0358998667374637,0.0358998667374637,0.0358998667374637,0.0358998667374637,0.0358998667374635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1197,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000368557557127502,0.000368557557126614,0.000368557557128391,0.000368557557126614,0.000368557557127502,0.000368557557126614,0.000368557557127502,0.000368557557127502,0.000368557557127502,0.000368557557127502,0.000368557557126614,0.000368557557127502,0.000368557557126614,0.000368557557127502,0.000368557557127502,0.000368557557127502,0.000368557557127502,0.000368557557126614,NA
1199,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00177079598378471,0.00177079598378471,0.00177079598378493,0.00177079598378471,0.00177079598378493,0.00177079598378471,0.00177079598378471,0.00177079598378493,0.00177079598378471,0.00177079598378471,0.00177079598378493,0.00177079598378471,NA,NA,NA,NA,NA,NA
3227,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00469709289874665,-0.00743603738301957,-0.0124430940732916,-0.0178349338564452,-0.0223898584571209,-0.0231044038870145,-0.0189845789083032,-0.00905788255803852,0.00631455788096513,0.0247157323144727,0.0445101545830626,0.0615728901432986,0.0743915408153546,0.0810414484233641,NA,NA,NA,NA
1198,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0671143644526486,-0.0663038053347274,-0.0645495455453764,-0.0613190188705541,-0.0563485533829668,-0.0491160275874769,-0.0394786787231238,-0.0273875772411882,-0.0130372232406328,0.00274545333401921,0.0193572148278562,0.0352120405657725,0.0495237276488929,0.0607334851568284,0.0683903757268087,0.0722494408281378,NA
668,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0115222721336821,0.0115222721336821,0.0115222721336816,0.0115222721336821,0.0115222721336816,0.0115222721336821,0.0115222721336816,0.0115222721336821,0.0115222721336821,0.0115222721336812,0.0115222721336821,0.0115222721336821,0.0115222721336816,0.0115222721336821,0.0115222721336821,0.0115222721336816,0.0115222721336816,0.0115222721336821,0.0115222721336821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1036,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00810499525634967,0.00810499525635144,0.00810499525634967,0.00810499525634967,0.00810499525635056,0.00810499525634967,0.00810499525635056,0.00810499525635056,0.00810499525634967,0.00810499525634967,0.00810499525635144,0.00810499525634967,0.00810499525635144,0.00810499525634967,0.00810499525634967,0.00810499525635144,0.00810499525634967,0.00810499525634967,NA
1039,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00950484485009145,0.00950484485009145,0.00950484485009145,0.0095048448500914,0.0095048448500914,0.00950484485009145,0.0095048448500914,0.00950484485009145,0.0095048448500914,0.0095048448500914,0.00950484485009145,0.00950484485009145,NA,NA,NA,NA,NA,NA
3218,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00432219233388942,0.00445792833560521,0.004592604254408,0.00417903575179146,0.00290750032827791,8.6292324478876e-05,-0.00446716953706083,-0.010791504706777,-0.018656637649471,-0.0271036467739485,-0.0355412520019849,-0.0425632546119159,-0.0476747261137938,-0.0503021512694968,NA,NA,NA,NA
1037,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00205992397023969,0.0020599239702398,0.0020599239702398,0.00205992397023969,0.00205992397023974,0.00205992397023974,0.00205992397023974,0.00205992397023974,0.00205992397023969,0.0020599239702398,NA,NA,NA,NA,NA,NA,NA
1038,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00608283187965686,0.0053301450446126,0.00377199222913127,0.00119725685164251,-0.00246498105621562,-0.00728728478632412,-0.0132528007187371,-0.0202215510818275,-0.0280458242520094,-0.0362747515065704,-0.0446210922648502,-0.0523867529268633,-0.059237762916335,-0.0645363335281308,-0.0681094416734718,-0.06990278370239,NA
1040,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0217182958000006,-0.0217182958000008,-0.0217182958000006,-0.0217182958000008,-0.0217182958000006,-0.0217182958000006,-0.0217182958000008,-0.0217182958000008,-0.0217182958000006,-0.0217182958000006,NA,NA,NA,NA,NA,NA
3219,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0301954778641491,-0.0301954778641491,-0.0301954778641491,-0.0301954778641482,-0.0301954778641491,-0.0301954778641491,-0.0301954778641491,-0.0301954778641482,-0.0301954778641482,-0.0301954778641491,-0.0301954778641482,-0.0301954778641491,-0.0301954778641491,-0.0301954778641491,NA,NA
669,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0144967122738329,0.0144967122738328,0.0144967122738328,0.0144967122738328,0.0144967122738328,0.0144967122738329,0.0144967122738328,0.0144967122738328,0.0144967122738329,0.0144967122738328,0.0144967122738329,0.0144967122738327,0.0144967122738329,0.0144967122738328,0.0144967122738328,0.0144967122738328,0.0144967122738329,0.0144967122738328,0.0144967122738329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0250020204181665,0.0250020204181656,0.0250020204181665,0.0250020204181656,0.0250020204181656,0.0250020204181665,0.0250020204181665,0.0250020204181647,0.0250020204181665,0.0250020204181665,0.0250020204181656,0.0250020204181656,0.0250020204181665,0.0250020204181656,0.0250020204181665,0.0250020204181656,0.0250020204181656,0.0250020204181665,NA
1313,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0537160575788478,0.0537160575788473,0.0537160575788476,0.0537160575788471,0.0537160575788473,0.0537160575788478,0.0537160575788476,0.0537160575788471,0.0537160575788476,0.0537160575788476,0.0537160575788473,0.0537160575788476,NA,NA,NA,NA,NA,NA
3230,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0301239321783724,0.0339888829248549,0.0412070272621312,0.0497313365674374,0.0581730740300319,0.0630243210297285,0.0630618011221129,0.0569003271497248,0.044764049854698,0.0289347593630076,0.0110339063074809,-0.00473449690657191,-0.0168012768123482,-0.0230937519479717,NA,NA,NA,NA
1312,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0202438079337206,0.0202438079336478,0.0202438079335083,0.0202438079333129,0.0202438079330802,0.020243807932852,0.0202438079326459,0.0202438079325038,0.0202438079324327,0.0202438079324336,0.0202438079325082,0.0202438079326202,0.0202438079327569,0.0202438079328777,0.0202438079329719,0.0202438079330207,NA
1314,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0343904427154116,-0.034390442715412,-0.0343904427154116,-0.0343904427154125,-0.0343904427154116,-0.034390442715412,-0.0343904427154116,-0.0343904427154125,-0.0343904427154116,-0.034390442715412,NA,NA,NA,NA,NA,NA
3231,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00872866682078444,-0.00872866682078399,-0.00872866682078444,-0.00872866682078444,-0.00872866682078444,-0.00872866682078399,-0.00872866682078444,-0.00872866682078444,-0.00872866682078355,-0.00872866682078488,-0.00872866682078444,-0.00872866682078355,-0.00872866682078444,-0.00872866682078444,NA,NA
670,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034454002254303,0.0344540022543032,0.034454002254303,0.034454002254303,0.0344540022543032,0.0344540022543027,0.0344540022543032,0.034454002254303,0.0344540022543032,0.034454002254303,0.034454002254303,0.034454002254303,0.034454002254303,0.0344540022543032,0.034454002254303,0.0344540022543032,0.0344540022543032,0.034454002254303,0.0344540022543032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1549,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0220689688535405,0.0220689688535405,0.0220689688535414,0.0220689688535405,0.0220689688535414,0.0220689688535405,0.0220689688535405,0.0220689688535414,0.0220689688535405,0.0220689688535414,0.0220689688535405,0.0220689688535405,0.0220689688535414,0.0220689688535405,0.0220689688535414,0.0220689688535405,0.0220689688535414,0.0220689688535405,NA
1551,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0250760465268751,0.0250760465268751,0.0250760465268751,0.0250760465268749,0.0250760465268751,0.0250760465268751,0.0250760465268751,0.0250760465268751,0.0250760465268752,0.025076046526875,0.0250760465268752,0.025076046526875,NA,NA,NA,NA,NA,NA
3234,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125506991906921,0.0127925073674708,0.0133043457390718,0.0141991023776518,0.0155221857275194,0.0173423414937375,0.0196538193004754,0.0223648719393195,0.0253768729349106,0.0283870635941925,0.0312259973857252,0.0335186468768098,0.035140211374669,0.0359665155408981,NA,NA,NA,NA
1550,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0171158484124394,0.0154552657415925,0.0122698084857698,0.00810230898845798,0.00341523808675515,-0.000484353214432964,-0.00302754356123369,-0.00324569854306578,-0.000930019438049712,0.00378605423073353,0.0105649948858089,0.0181901317403668,0.0259887131878003,0.0324864035885009,0.037190513571665,0.0396046212936962,NA
1552,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0182377131618554,-0.0182377131618556,-0.0182377131618556,-0.0182377131618554,-0.0182377131618554,-0.0182377131618556,-0.0182377131618554,-0.0182377131618556,-0.0182377131618554,-0.0182377131618556,NA,NA,NA,NA,NA,NA
3235,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0061680102632522,-0.00616801026325131,-0.00616801026325131,-0.0061680102632522,-0.00616801026325131,-0.00616801026325131,-0.0061680102632522,-0.00616801026325131,-0.00616801026325131,-0.00616801026325131,-0.00616801026325131,-0.00616801026325131,-0.00616801026325131,-0.0061680102632522,NA,NA
671,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0545617900459254,0.0545617900459254,0.0545617900459254,0.0545617900459254,0.0545617900459254,0.0545617900459254,0.0545617900459254,0.0545617900459253,0.0545617900459254,0.0545617900459253,0.0545617900459254,0.0545617900459255,0.0545617900459253,0.0545617900459254,0.0545617900459252,0.0545617900459257,0.0545617900459254,0.0545617900459252,0.0545617900459254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1596,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0265456203061198,0.0265456203061198,0.0265456203061198,0.0265456203061198,0.0265456203061198,0.0265456203061198,0.026545620306119,0.0265456203061198,0.0265456203061198,0.0265456203061198,0.0265456203061198,0.0265456203061198,0.0265456203061198,0.0265456203061198,0.0265456203061198,0.0265456203061198,0.0265456203061198,0.0265456203061198,NA
1598,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0686375626313223,0.0686375626313227,0.0686375626313225,0.0686375626313225,0.0686375626313225,0.0686375626313227,0.0686375626313225,0.0686375626313225,0.0686375626313225,0.0686375626313225,0.0686375626313227,0.0686375626313225,NA,NA,NA,NA,NA,NA
3237,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0609095164060465,0.0609095164062117,0.0609095164065332,0.0609095164069737,0.0609095164075004,0.0609095164080289,0.0609095164085183,0.06090951640891,0.0609095164091888,0.0609095164093603,0.0609095164094313,0.0609095164094517,0.0609095164094384,0.0609095164094278,NA,NA,NA,NA
1597,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0255765141248698,0.0255765141249009,0.0255765141249649,0.0255765141250537,0.0255765141251567,0.0255765141252597,0.0255765141253503,0.0255765141254143,0.0255765141254463,0.0255765141254427,0.0255765141254098,0.0255765141253566,0.0255765141252944,0.0255765141252384,0.0255765141251949,0.0255765141251736,NA
672,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00906309681478312,-0.00906309681478312,-0.00906309681478312,-0.00906309681478312,-0.00906309681478334,-0.0090630968147829,-0.00906309681478312,-0.00906309681478312,-0.00906309681478312,-0.00906309681478312,-0.0090630968147829,-0.00906309681478312,-0.00906309681478312,-0.00906309681478312,-0.00906309681478312,-0.0090630968147829,-0.00906309681478312,-0.00906309681478312,-0.00906309681478312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1627,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00966388510840943,-0.00966388510840943,-0.00966388510840943,-0.00966388510841032,-0.00966388510840943,-0.00966388510840854,-0.00966388510841032,-0.00966388510840943,-0.00966388510841032,-0.00966388510840943,-0.00966388510840854,-0.00966388510841032,-0.00966388510840943,-0.00966388510840943,-0.00966388510841032,-0.00966388510840854,-0.00966388510841032,-0.00966388510840943,NA
1629,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00905861757363624,0.00905861757363624,0.00905861757363646,0.00905861757363624,0.00905861757363624,0.00905861757363646,0.00905861757363624,0.00905861757363624,0.00905861757363646,0.00905861757363624,0.00905861757363624,0.00905861757363646,NA,NA,NA,NA,NA,NA
3238,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0216243368090572,-0.0216243368090039,-0.0216243368089035,-0.021624336808781,-0.0216243368086495,-0.021624336808558,-0.0216243368085136,-0.0216243368085429,-0.0216243368086433,-0.0216243368087872,-0.021624336808963,-0.0216243368091185,-0.0216243368092419,-0.0216243368093085,NA,NA,NA,NA
1628,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0438833333716317,0.0434928118351499,0.0425637180962184,0.0405038494909657,0.0369802172771942,0.0312530691499804,0.0230766844612758,0.0122079329238192,-0.00122051658679645,-0.0164348582809373,-0.0328212720521064,-0.0486982832639686,-0.0632180674176057,-0.0746708011537018,-0.0825482607187658,-0.086527374458127,NA
1630,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0338231579223001,0.0338231579223005,0.033823157922301,0.0338231579223001,0.0338231579223005,0.0338231579223005,0.0338231579223001,0.0338231579223005,0.0338231579223001,0.0338231579223005,NA,NA,NA,NA,NA,NA
3239,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0119773462724586,0.0119773462724586,0.0119773462724586,0.0119773462724586,0.0119773462724586,0.0119773462724586,0.0119773462724586,0.0119773462724595,0.0119773462724577,0.0119773462724586,0.0119773462724595,0.0119773462724577,0.0119773462724586,0.0119773462724595,NA,NA
673,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00375763634051285,-0.00375763634051307,-0.00375763634051285,-0.00375763634051296,-0.00375763634051296,-0.00375763634051296,-0.00375763634051285,-0.00375763634051307,-0.00375763634051285,-0.00375763634051307,-0.00375763634051285,-0.00375763634051285,-0.00375763634051307,-0.00375763634051285,-0.00375763634051307,-0.00375763634051285,-0.00375763634051296,-0.00375763634051296,-0.00375763634051296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1646,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0822748483028137,0.0797732515082483,0.0747005811072619,0.0667789298524388,0.0560326291619893,0.0428369119561651,0.0274711956919251,0.0106779172768485,-0.00710118669656445,-0.0248416067659036,-0.0419967371825045,-0.0574046644141069,-0.070547627735718,-0.0805164977795991,-0.087103596938408,-0.0903873441505167,NA
674,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0388702223228088,0.0388702223228089,0.0388702223228089,0.0388702223228089,0.0388702223228088,0.038870222322809,0.0388702223228088,0.0388702223228088,0.0388702223228089,0.0388702223228088,0.0388702223228089,0.0388702223228089,0.0388702223228088,0.038870222322809,0.0388702223228088,0.0388702223228089,0.038870222322809,0.0388702223228086,0.038870222322809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,0.0363395517089113,NA
1861,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018668580225583,0.0186685802255835,0.0186685802255835,0.018668580225583,0.0186685802255839,0.0186685802255835,0.018668580225583,0.0186685802255835,0.0186685802255835,0.0186685802255835,0.0186685802255835,0.018668580225583,NA,NA,NA,NA,NA,NA
3246,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0216733262454305,0.021673326264291,0.0216733263018547,0.021673326357484,0.0216733264295348,0.0216733265120732,0.0216733266018814,0.0216733266919968,0.0216733267791449,0.0216733268571687,0.0216733269234641,0.0216733269737865,0.0216733270071376,0.0216733270237803,NA,NA,NA,NA
1860,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108245425526755,0.095734789693223,0.0716075121784545,0.0394395695916447,0.00239995232353074,-0.0304113546720934,-0.0549789680359254,-0.0643413392845451,-0.0568657749470667,-0.0329830496233869,0.00525857577363986,0.0500968321924784,0.097181147459108,0.136871501928963,0.165901352578729,0.180844546959701,NA
1862,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0278263273801649,-0.0278263273801649,-0.0278263273801653,-0.0278263273801649,-0.0278263273801649,-0.0278263273801649,-0.0278263273801649,-0.0278263273801649,-0.0278263273801649,-0.0278263273801649,NA,NA,NA,NA,NA,NA
3247,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00247785430580194,0.00247785430580238,0.00247785430580194,0.00247785430580194,0.00247785430580194,0.00247785430580194,0.00247785430580194,0.00247785430580194,0.00247785430580238,0.0024778543058015,0.00247785430580194,0.00247785430580238,0.00247785430580194,0.00247785430580194,NA,NA
675,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0273854309786752,0.0273854309786754,0.0273854309786752,0.0273854309786754,0.0273854309786752,0.0273854309786752,0.0273854309786754,0.0273854309786752,0.0273854309786752,0.0273854309786754,0.027385430978675,0.0273854309786752,0.0273854309786754,0.0273854309786754,0.0273854309786752,0.0273854309786752,0.0273854309786752,0.0273854309786752,0.0273854309786756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2061,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016491898912375,0.0164918989123759,0.016491898912375,0.0164918989123759,0.016491898912375,0.0164918989123759,0.016491898912375,0.0164918989123759,0.016491898912375,0.0164918989123759,0.016491898912375,0.0164918989123759,0.016491898912375,0.0164918989123759,0.016491898912375,0.016491898912375,0.0164918989123759,0.016491898912375,NA
